order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp,gateway_txn_id,status
ORD_13,MER_59,CUS_82,8342.76,INR,CARD,TRANSFER,2026-08-07 14:28:07.233421,PAY_ff50bde4-3825-47b8-9cab-cc97663f1c97,SUCCESS
ORD_15,MER_82,CUS_22,5346.06,INR,CARD,REFUND,2026-08-26 07:16:46.462724,PAY_dc713d96-0c0f-4195-817a-f08a1745d6d8,SUCCESS
ORD_16,MER_60,CUS_49,2706.78,INR,CARD,TRANSFER,2026-08-23 03:43:14.317724,PAY_28f49481-a0a0-4dc4-a720-9bdf1c11f735,SUCCESS
ORD_17,MER_99,CUS_100,568.82,INR,UPI,TRANSFER,2026-08-13 10:04:48.092330,PAY_98ae4334-6c12-4ce8-ae34-0454cac5b68c,SUCCESS
ORD_18,MER_52,CUS_35,671.22,INR,NET_BANKING,REFUND,2026-08-24 11:38:02.652606,PAY_988c24c9-61b1-4d22-a280-1c4510435a10,SUCCESS
ORD_19,MER_84,CUS_64,3962.36,INR,WALLET,REFUND,2026-08-31 02:09:09.743709,PAY_405cacec-8774-49a9-b7d2-1e02ff01cf99,SUCCESS
ORD_20,MER_34,CUS_18,2473.81,INR,NET_BANKING,DEPOSIT,2026-08-07 00:02:30.785085,PAY_f143262f-dc5c-4eed-8da0-365bf89897b9,SUCCESS
ORD_21,MER_55,CUS_75,4000.01,INR,CARD,REFUND,2026-08-30 23:33:09.500751,PAY_1d53434b-b881-49b9-ae27-0da702f06b90,SUCCESS
ORD_23,MER_20,CUS_81,1608.22,INR,WALLET,DEPOSIT,2026-08-17 00:20:35.338815,PAY_5715bd6f-a416-4293-84c2-e2e3444ea7c8,SUCCESS
ORD_24,MER_9,CUS_50,3822.38,INR,WALLET,DEPOSIT,2026-08-11 11:18:28.863512,PAY_287d06ca-6f4c-469a-8b22-d3081c8eaee9,SUCCESS
ORD_25,MER_33,CUS_71,8609.19,INR,UPI,PAYMENT,2026-09-04 12:33:22.283160,PAY_b8db0672-f42d-47cc-80d4-af5974273ca3,SUCCESS
ORD_26,MER_88,CUS_69,7511.27,INR,NET_BANKING,PAYMENT,2026-08-16 21:42:39.060932,PAY_f8cda88b-436d-46e2-b83c-fe0be037e5ed,SUCCESS
ORD_27,MER_38,CUS_56,1590.0,INR,UPI,TRANSFER,2026-08-09 14:08:23.226041,PAY_81f76d1c-2dbc-4134-830f-f46e8026695f,SUCCESS
ORD_28,MER_65,CUS_98,1794.73,INR,UPI,TRANSFER,2026-08-09 16:59:54.848752,PAY_a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,SUCCESS
ORD_29,MER_82,CUS_65,6093.61,INR,CARD,TRANSFER,2026-09-01 05:33:31.397573,PAY_81f631d4-a392-41a7-9777-a4774c66e0a8,SUCCESS
ORD_30,MER_98,CUS_21,5398.4,INR,UPI,DEPOSIT,2026-08-24 22:02:43.873303,PAY_5fb8d16c-2720-497d-b2eb-d6899be578c7,SUCCESS
ORD_31,MER_42,CUS_63,204.57,INR,NET_BANKING,TRANSFER,2026-08-31 00:29:42.484327,PAY_f4188f3f-8a14-4e62-a95b-4715c333e861,SUCCESS
ORD_32,MER_31,CUS_8,2416.31,INR,UPI,PAYMENT,2026-08-28 16:46:10.791110,PAY_eb2263dd-87c5-421e-ac24-a3c5c754108f,SUCCESS
ORD_33,MER_94,CUS_63,8162.07,INR,CARD,REFUND,2026-08-22 21:26:49.213051,PAY_7d154385-52fb-443b-9954-6eb400257ad1,SUCCESS
ORD_34,MER_85,CUS_61,9469.02,INR,CARD,TRANSFER,2026-09-05 00:00:22.060235,PAY_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,SUCCESS
ORD_35,MER_68,CUS_78,4237.15,INR,CARD,DEPOSIT,2026-08-18 03:54:27.105724,PAY_ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,SUCCESS
ORD_36,MER_97,CUS_94,6901.78,INR,NET_BANKING,WITHDRAWAL,2026-08-23 08:49:55.316260,PAY_3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,SUCCESS
ORD_37,MER_86,CUS_84,3740.47,INR,WALLET,PAYMENT,2026-08-31 16:32:02.889744,PAY_14296c07-f26b-4776-913e-4de2e0c53cb8,SUCCESS
ORD_38,MER_32,CUS_29,649.62,INR,UPI,DEPOSIT,2026-08-25 08:41:49.198128,PAY_d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,SUCCESS
ORD_39,MER_71,CUS_30,5888.52,INR,UPI,PAYMENT,2026-09-01 15:47:30.285605,PAY_885f6e66-c2b6-42c5-ba5d-310011b7e948,SUCCESS
ORD_40,MER_91,CUS_81,598.15,INR,UPI,PAYMENT,2026-08-24 03:03:22.760505,PAY_a8e56e0c-20de-435d-a031-d750c40db9b4,SUCCESS
ORD_41,MER_43,CUS_10,5146.42,INR,NET_BANKING,WITHDRAWAL,2026-08-27 22:39:16.199469,PAY_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,SUCCESS
ORD_42,MER_28,CUS_70,1331.8,INR,WALLET,REFUND,2026-08-08 04:21:22.802435,PAY_9b49bd26-df57-459a-8715-a10343dac043,SUCCESS
ORD_43,MER_61,CUS_53,1912.2,INR,UPI,WITHDRAWAL,2026-08-13 15:26:58.330489,PAY_edcd465e-3638-4821-b6e0-7cc06c52c49f,SUCCESS
ORD_45,MER_8,CUS_52,7284.85,INR,UPI,REFUND,2026-08-09 04:48:46.804186,PAY_66245bfa-4fcc-439a-b683-d2e6337ea2df,SUCCESS
ORD_47,MER_24,CUS_36,4631.65,INR,UPI,WITHDRAWAL,2026-08-09 20:05:01.705030,PAY_7394988f-847f-49b4-a64d-1bcb702753a1,SUCCESS
ORD_48,MER_71,CUS_13,515.38,INR,UPI,PAYMENT,2026-08-15 03:30:13.579261,PAY_1064005c-3985-43cf-bf76-be1d1efa2197,SUCCESS
ORD_49,MER_97,CUS_31,1671.45,INR,WALLET,WITHDRAWAL,2026-08-25 21:03:20.079533,PAY_8dcdcd03-969b-4662-8562-8059568cc69b,SUCCESS
ORD_50,MER_28,CUS_52,9025.4,INR,CARD,WITHDRAWAL,2026-08-17 18:02:31.007890,PAY_01d74256-3860-4ab6-96a4-02f23ae8cc93,SUCCESS
ORD_51,MER_1,CUS_50,2659.38,INR,WALLET,TRANSFER,2026-08-17 21:53:35.066767,PAY_0f1259e0-a18f-46b6-b535-106e122c9a56,SUCCESS
ORD_52,MER_55,CUS_90,9573.6,INR,WALLET,REFUND,2026-08-13 02:12:28.223760,PAY_080aadfb-e7c9-4b26-9141-25c63a9bedd4,SUCCESS
ORD_53,MER_25,CUS_38,2184.83,INR,UPI,DEPOSIT,2026-08-14 19:35:12.514751,PAY_839fbc50-1223-4513-9496-f63cdc1110c1,SUCCESS
ORD_54,MER_95,CUS_70,618.97,INR,NET_BANKING,PAYMENT,2026-09-03 21:45:14.691351,PAY_7c441fe7-ab42-40a7-874a-493b3ceddf2d,SUCCESS
ORD_55,MER_7,CUS_75,4773.12,INR,CARD,PAYMENT,2026-08-26 05:56:53.718559,PAY_b92da22b-21df-406f-8a0b-3c3336d8393a,SUCCESS
ORD_56,MER_66,CUS_11,8514.91,INR,UPI_PAYMENT,DEPOSIT,2026-08-25 01:56:13.566689,PAY_93829b43-922f-415a-a1e3-db63ef7ddc76,SUCCESS
ORD_57,MER_9,CUS_87,8619.57,INR,WALLET,PAYMENT,2026-08-11 22:34:57.376129,PAY_7914c120-c8dc-419f-be35-11287900f7f9,SUCCESS
ORD_58,MER_73,CUS_32,5793.4,INR,UPI,DEPOSIT,2026-08-28 16:20:02.660287,PAY_1825bc54-30be-445f-a835-14f2ceb81f9d,SUCCESS
ORD_59,MER_11,CUS_54,6577.16,INR,NET_BANKING,TRANSFER,2026-08-11 17:00:45.263831,PAY_5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,SUCCESS
ORD_60,MER_27,CUS_86,7164.76,INR,DEBIT_CARD,TRANSFER,2026-08-18 04:34:14.505036,PAY_dd2467ac-778e-4db3-a93d-ffbc6c6fa611,SUCCESS
ORD_9,MER_34,CUS_6,7300.02,INR,UPI,WITHDRAWAL,2026-08-19 11:08:47.356624,PAY_24933b83-7577-40a9-a491-f0b2ea1fca65_DUP,SUCCESS
ORD_3,MER_55,CUS_5,307.67,INR,CARD,REFUND,2026-08-15 01:23:01.993213,PAY_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5_DUP,SUCCESS
ORD_21,MER_55,CUS_75,4000.01,INR,CARD,REFUND,2026-08-30 23:33:09.500751,PAY_1d53434b-b881-49b9-ae27-0da702f06b90_DUP,SUCCESS
ORPHAN_ORD_1,MER_006,CUS_0006,89902.57,INR,CARD,PAYMENT,2026-08-12 15:21:22.133629,ORPHAN_PAY_935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,SUCCESS
ORPHAN_ORD_2,MER_004,CUS_0086,10369.08,INR,WALLET,PAYMENT,2026-08-14 03:01:53.667387,ORPHAN_PAY_664fa663-7e8f-4095-a24c-69b6b24445a7,SUCCESS
ORPHAN_ORD_3,MER_010,CUS_0096,15539.88,INR,CARD,PAYMENT,2026-08-29 08:03:25.923395,ORPHAN_PAY_e4855aa1-016b-4287-b008-05cca7f36ae9,SUCCESS
