order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp,ledger_txn_id,status
ORD_29,MER_82,CUS_65,6093.61,INR,CARD,TRANSFER,2026-09-01 05:33:31.397573,LED_94340a03-3f07-4814-91d6-3f78e3e9de99,POSTED
ORD_30,MER_98,CUS_21,5398.4,INR,UPI,DEPOSIT,2026-08-24 22:02:43.873303,LED_14fcdd54-9e8f-4965-8a2c-827e98326856,POSTED
ORD_31,MER_42,CUS_63,204.57,INR,NET_BANKING,TRANSFER,2026-08-31 00:29:42.484327,LED_90b2b633-956b-4c0c-a849-9b926b5252e3,POSTED
ORD_32,MER_31,CUS_8,2416.31,INR,UPI,PAYMENT,2026-08-28 16:46:10.791110,LED_42c18a62-ef48-48d5-90fd-9d3f85d51695,POSTED
ORD_33,MER_94,CUS_63,8162.07,INR,CARD,REFUND,2026-08-22 21:26:49.213051,LED_506e5a9a-b758-488d-ab73-295b344a54b8,POSTED
ORD_36,MER_97,CUS_94,6901.78,INR,NET_BANKING,WITHDRAWAL,2026-08-23 08:49:55.316260,LED_ef8c485b-c07a-40f2-add4-253b50f0fd0a,POSTED
ORD_37,MER_86,CUS_84,3740.47,INR,WALLET,PAYMENT,2026-08-31 16:32:02.889744,LED_9f044aed-7552-4327-8262-7f7312922f83,POSTED
ORD_38,MER_32,CUS_29,649.62,INR,UPI,DEPOSIT,2026-08-25 08:41:49.198128,LED_19985f15-ff00-4d4d-9020-59e4ff9ab5c2,POSTED
ORD_39,MER_71,CUS_30,5888.52,INR,UPI,PAYMENT,2026-09-01 15:47:30.285605,LED_8181a8cc-3691-47eb-89a2-688b12c136e0,POSTED
ORD_40,MER_91,CUS_81,598.15,INR,UPI,PAYMENT,2026-08-24 03:03:22.760505,LED_5958a499-eeea-463e-a1e8-ac6843e42caf,POSTED
ORD_41,MER_43,CUS_10,5146.42,INR,NET_BANKING,WITHDRAWAL,2026-08-27 22:39:16.199469,LED_3e896c64-e117-4ac3-919c-4ea3e1805081,POSTED
ORD_42,MER_28,CUS_70,1331.8,INR,WALLET,REFUND,2026-08-08 04:21:22.802435,LED_702cdd20-2862-48b8-88f4-ef125e9953d2,POSTED
ORD_43,MER_61,CUS_53,1912.2,INR,UPI,WITHDRAWAL,2026-08-13 15:26:58.330489,LED_4d71c366-b41b-4143-8b10-550cd5704f32,POSTED
ORD_44,MER_46,CUS_55,4116.91,INR,UPI,PAYMENT,2026-08-15 11:43:19.601657,LED_ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,POSTED
ORD_45,MER_8,CUS_52,7284.85,INR,UPI,REFUND,2026-08-09 04:48:46.804186,LED_aaf91531-0200-41f0-8768-a84fa76afde6,POSTED
ORD_46,MER_25,CUS_25,5367.49,INR,CARD,WITHDRAWAL,2026-08-13 18:58:19.977448,LED_ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,POSTED
ORD_47,MER_24,CUS_36,4631.65,INR,UPI,WITHDRAWAL,2026-08-09 20:05:01.705030,LED_e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,POSTED
ORD_48,MER_71,CUS_13,515.38,INR,UPI,PAYMENT,2026-08-15 03:30:13.579261,LED_e3c43657-1d8c-4bac-83b4-09ef2260e70f,POSTED
ORD_49,MER_97,CUS_31,1671.45,INR,WALLET,WITHDRAWAL,2026-08-25 21:03:20.079533,LED_27cb6f2a-8da0-4097-be0f-051b1b66b5a9,POSTED
ORD_50,MER_28,CUS_52,9025.4,INR,CARD,WITHDRAWAL,2026-08-17 18:02:31.007890,LED_35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,POSTED
ORD_51,MER_1,CUS_50,2659.38,INR,WALLET,TRANSFER,2026-08-17 21:53:35.066767,LED_afffcfd2-341e-440b-97c7-00aab7b56ea7,POSTED
ORD_52,MER_55,CUS_90,9573.6,INR,WALLET,REFUND,2026-08-13 02:12:28.223760,LED_81627cf1-4394-42e6-9a58-7e8aa25d6b29,POSTED
ORD_53,MER_25,CUS_38,2184.83,INR,UPI,DEPOSIT,2026-08-14 19:35:12.514751,LED_e87d1c78-e7c4-41c7-8049-7b717d106c60,POSTED
ORD_54,MER_95,CUS_70,618.97,INR,NET_BANKING,PAYMENT,2026-09-03 21:45:14.691351,LED_a2607723-17a0-4f49-8d01-280fd89a40c0,POSTED
ORD_55,MER_7,CUS_75,4773.12,INR,CARD,PAYMENT,2026-08-26 05:56:53.718559,LED_0b49452d-46d4-43f3-9450-281c6c6f7633,POSTED
ORD_56,MER_66,CUS_11,8514.91,INR,UPI,DEPOSIT,2026-08-25 01:56:13.566689,LED_217d65a0-c568-41cd-9563-f61600e85ece,POSTED
ORD_57,MER_9,CUS_87,8619.57,INR,WALLET,PAYMENT,2026-08-11 22:34:57.376129,LED_295d6fbf-430f-401d-bad4-09e2a319dcb4,POSTED
ORD_58,MER_73,CUS_32,5793.4,INR,UPI,DEPOSIT,2026-08-28 16:20:02.660287,LED_b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,POSTED
ORD_60,MER_27,CUS_86,7164.76,INR,CARD,TRANSFER,2026-08-18 04:34:14.505036,LED_b0e6a969-e213-42b0-b1ee-dba313432e61,POSTED
