TXN_id,order_id,merchant_id,customer_id,amount,currency,payment_method,transaction_type,timestamp
TXN_25,ORD_25,MER_33,CUS_71,8609.19,INR,UPI,PAYMENT,2026-09-04 12:33:22.283160
TXN_26,ORD_26,MER_88,CUS_69,7511.27,INR,NET_BANKING,PAYMENT,2026-08-16 21:42:39.060932
TXN_27,ORD_27,MER_38,CUS_56,1590.0,INR,UPI,TRANSFER,2026-08-09 14:08:23.226041
TXN_28,ORD_28,MER_65,CUS_98,1794.73,INR,UPI,TRANSFER,2026-08-09 16:59:54.848752
TXN_29,ORD_29,MER_82,CUS_65,6093.61,INR,CARD,TRANSFER,2026-09-01 05:33:31.397573
TXN_30,ORD_30,MER_98,CUS_21,5398.4,INR,UPI,DEPOSIT,2026-08-24 22:02:43.873303
TXN_31,ORD_31,MER_42,CUS_63,204.57,INR,NET_BANKING,TRANSFER,2026-08-31 00:29:42.484327
TXN_32,ORD_32,MER_31,CUS_8,2416.31,INR,UPI,PAYMENT,2026-08-28 16:46:10.791110
TXN_33,ORD_33,MER_94,CUS_63,8162.07,INR,CARD,REFUND,2026-08-22 21:26:49.213051
TXN_34,ORD_34,MER_85,CUS_61,9469.02,INR,CARD,TRANSFER,2026-09-05 00:00:22.060235
TXN_35,ORD_35,MER_68,CUS_78,4237.15,INR,CARD,DEPOSIT,2026-08-18 03:54:27.105724
TXN_36,ORD_36,MER_97,CUS_94,6901.78,INR,NET_BANKING,WITHDRAWAL,2026-08-23 08:49:55.316260
TXN_37,ORD_37,MER_86,CUS_84,3740.47,INR,WALLET,PAYMENT,2026-08-31 16:32:02.889744
TXN_38,ORD_38,MER_32,CUS_29,649.62,INR,UPI,DEPOSIT,2026-08-25 08:41:49.198128
TXN_39,ORD_39,MER_71,CUS_30,5888.52,INR,UPI,PAYMENT,2026-09-01 15:47:30.285605
TXN_40,ORD_40,MER_91,CUS_81,598.15,INR,UPI,PAYMENT,2026-08-24 03:03:22.760505
TXN_41,ORD_41,MER_43,CUS_10,5146.42,INR,NET_BANKING,WITHDRAWAL,2026-08-27 22:39:16.199469
TXN_42,ORD_42,MER_28,CUS_70,1331.8,INR,WALLET,REFUND,2026-08-08 04:21:22.802435
TXN_43,ORD_43,MER_61,CUS_53,1912.2,INR,UPI,WITHDRAWAL,2026-08-13 15:26:58.330489
TXN_44,ORD_44,MER_46,CUS_55,4116.91,INR,UPI,PAYMENT,2026-08-15 11:43:19.601657
TXN_45,ORD_45,MER_8,CUS_52,7284.85,INR,UPI,REFUND,2026-08-09 04:48:46.804186
TXN_46,ORD_46,MER_25,CUS_25,5367.49,INR,CARD,WITHDRAWAL,2026-08-13 18:58:19.977448
TXN_47,ORD_47,MER_24,CUS_36,4631.65,INR,UPI,WITHDRAWAL,2026-08-09 20:05:01.705030
TXN_48,ORD_48,MER_71,CUS_13,515.38,INR,UPI,PAYMENT,2026-08-15 03:30:13.579261
TXN_49,ORD_49,MER_97,CUS_31,1671.45,INR,WALLET,WITHDRAWAL,2026-08-25 21:03:20.079533
TXN_50,ORD_50,MER_28,CUS_52,9025.4,INR,CARD,WITHDRAWAL,2026-08-17 18:02:31.007890
TXN_51,ORD_51,MER_1,CUS_50,2659.38,INR,WALLET,TRANSFER,2026-08-17 21:53:35.066767
TXN_52,ORD_52,MER_55,CUS_90,9573.6,INR,WALLET,REFUND,2026-08-13 02:12:28.223760
TXN_53,ORD_53,MER_25,CUS_38,2184.83,INR,UPI,DEPOSIT,2026-08-14 19:35:12.514751
TXN_54,ORD_54,MER_95,CUS_70,618.97,INR,NET_BANKING,PAYMENT,2026-09-03 21:45:14.691351
TXN_55,ORD_55,MER_7,CUS_75,4773.12,INR,CARD,PAYMENT,2026-08-26 05:56:53.718559
TXN_56,ORD_56,MER_66,CUS_11,8514.91,INR,UPI,DEPOSIT,2026-08-25 01:56:13.566689
TXN_57,ORD_57,MER_9,CUS_87,8619.57,INR,WALLET,PAYMENT,2026-08-11 22:34:57.376129
TXN_58,ORD_58,MER_73,CUS_32,5793.4,INR,UPI,DEPOSIT,2026-08-28 16:20:02.660287
TXN_59,ORD_59,MER_11,CUS_54,6577.16,INR,NET_BANKING,TRANSFER,2026-08-11 17:00:45.263831
TXN_60,ORD_60,MER_27,CUS_86,7164.76,INR,CARD,TRANSFER,2026-08-18 04:34:14.505036
