root,members,num_sources,sources,status,missing_source
LEDGER_78,"['BANK_135', 'GATEWAY_17', 'LEDGER_78']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_79,"['BANK_136', 'GATEWAY_18', 'LEDGER_79']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_81,"['BANK_137', 'LEDGER_81']",2,"{'BANK', 'LEDGER'}",MISSING_FROM_ONE_SOURCE,GATEWAY
LEDGER_82,"['BANK_138', 'GATEWAY_20', 'LEDGER_82']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_83,"['BANK_139', 'GATEWAY_21', 'LEDGER_83']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_84,"['BANK_140', 'GATEWAY_22', 'LEDGER_84']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_85,"['BANK_141', 'GATEWAY_23', 'LEDGER_85']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_86,"['BANK_142', 'GATEWAY_24', 'LEDGER_86']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_87,"['BANK_143', 'GATEWAY_25', 'LEDGER_87']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_88,"['BANK_144', 'GATEWAY_26', 'LEDGER_88']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_89,"['BANK_145', 'GATEWAY_27', 'LEDGER_89']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_90,"['BANK_146', 'GATEWAY_28', 'LEDGER_90']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_92,"['BANK_147', 'GATEWAY_30', 'LEDGER_92']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
GATEWAY_31,"['BANK_148', 'GATEWAY_31']",2,"{'BANK', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,LEDGER
GATEWAY_32,"['BANK_149', 'GATEWAY_32']",2,"{'BANK', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,LEDGER
LEDGER_93,"['BANK_150', 'GATEWAY_33', 'LEDGER_93']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_94,"['BANK_151', 'GATEWAY_34', 'LEDGER_94']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_95,"['BANK_152', 'GATEWAY_35', 'LEDGER_95']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_96,"['BANK_153', 'GATEWAY_36', 'LEDGER_96']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_97,"['BANK_154', 'GATEWAY_37', 'LEDGER_97']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_98,"['BANK_155', 'GATEWAY_38', 'LEDGER_98']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_99,"['BANK_156', 'GATEWAY_39', 'LEDGER_99']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_100,"['BANK_157', 'GATEWAY_40', 'LEDGER_100']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_101,"['BANK_158', 'LEDGER_101']",2,"{'BANK', 'LEDGER'}",MISSING_FROM_ONE_SOURCE,GATEWAY
LEDGER_102,"['BANK_159', 'GATEWAY_41', 'LEDGER_102']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_103,"['BANK_160', 'LEDGER_103']",2,"{'BANK', 'LEDGER'}",MISSING_FROM_ONE_SOURCE,GATEWAY
LEDGER_104,"['BANK_161', 'GATEWAY_42', 'LEDGER_104']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_105,"['BANK_162', 'GATEWAY_43', 'LEDGER_105']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_107,"['BANK_163', 'GATEWAY_45', 'LEDGER_107']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_108,"['BANK_164', 'GATEWAY_46', 'LEDGER_108']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_109,"['BANK_165', 'GATEWAY_47', 'LEDGER_109']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_110,"['BANK_166', 'GATEWAY_48', 'LEDGER_110']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_111,"['BANK_167', 'GATEWAY_49', 'LEDGER_111']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_112,"['BANK_168', 'GATEWAY_50', 'LEDGER_112']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_113,"['BANK_169', 'GATEWAY_51', 'LEDGER_113']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_114,"['BANK_170', 'GATEWAY_52', 'LEDGER_114']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
LEDGER_115,"['BANK_171', 'GATEWAY_53', 'LEDGER_115']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
GATEWAY_54,"['BANK_172', 'GATEWAY_54']",2,"{'BANK', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,LEDGER
LEDGER_116,"['BANK_173', 'GATEWAY_55', 'LEDGER_116']",3,"{'BANK', 'LEDGER', 'GATEWAY'}",FULLY_MATCHED,
GATEWAY_2,['GATEWAY_2'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_8,['GATEWAY_8'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_19,['GATEWAY_19'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
LEDGER_91,"['GATEWAY_29', 'LEDGER_91']",2,"{'LEDGER', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,BANK
LEDGER_106,"['GATEWAY_44', 'LEDGER_106']",2,"{'LEDGER', 'GATEWAY'}",MISSING_FROM_ONE_SOURCE,BANK
GATEWAY_56,['GATEWAY_56'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_57,['GATEWAY_57'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_58,['GATEWAY_58'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_59,['GATEWAY_59'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_60,['GATEWAY_60'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
GATEWAY_61,['GATEWAY_61'],1,{'GATEWAY'},NO_CANDIDATE_FOUND,
LEDGER_80,['LEDGER_80'],1,{'LEDGER'},NO_CANDIDATE_FOUND,
